start_date,end_date,start_time,end_time,title,description,location,category,academic_years
2025-07-14,,,,College Starts,,,COLLEGE,"FY,SY,TY,FR"
2025-07-28,2025-08-02,,,T.Y./Final: First In-Semester Evaluation,,,COLLEGE,"TY,FR"
2025-09-15,2025-09-20,,,S.Y.: First In-Semester Evaluation,,,COLLEGE,"SY"
2025-08-18,2025-08-23,,,T.Y./Final: Second In-Semester Evaluation,,,COLLEGE,"TY,FR"
2025-10-06,2025-10-11,,,S.Y.: Second In-Semester Evaluation,,,COLLEGE,"SY"
2025-09-08,2025-09-13,,,Mid Semester Submission,,,COLLEGE,"SY,TY,FR"
2025-10-19,2025-10-26,,,Diwali Holidays,,,COLLEGE,"SY,TY,FR"
2025-10-27,2025-10-31,,,Remedial/Bridge Teaching / End Sem Submission,,,COLLEGE,"SY,TY,FR"
2025-10-31,,,,Semester-I Teaching Ends,,,COLLEGE,"SY,TY,FR"
2025-11-03,2025-11-15,,,Practical/Oral Examination,,,COLLEGE,"SY,TY,FR"
2025-11-17,2025-11-30,,,End Semester Examination,,,COLLEGE,"SY,TY,FR"
2025-11-01,2025-11-30,,,Teachers’ Winter Vacation,,,COLLEGE,"SY,TY,FR"
2025-12-14,2025-12-28,,,Students’ Winter Vacation / Internship,,,COLLEGE,"SY,TY,FR"
2025-12-30,,,,Result Declaration for Semester-I,,,COLLEGE,"SY,TY,FR"
2025-12-29,,,,Semester-II Teaching Begins,,,COLLEGE,"SY,TY,FR"
2026-01-12,2026-01-17,,,First In-Semester Evaluation,,,COLLEGE,"SY,TY,FR"
2026-02-02,2026-02-06,,,Second In-Semester Evaluation,,,COLLEGE,"SY,TY,FR"
2026-02-23,2026-02-27,,,Mid Semester Submission,,,COLLEGE,"SY,TY,FR"
2026-03-30,2026-04-17,,,Remedial/Bridge Teaching / End Sem Submission,,,COLLEGE,"SY,TY,FR"
2026-04-17,,,,Semester-II Teaching Ends,,,COLLEGE,"SY,TY,FR"
2026-04-01,2026-05-02,,,Practical/Oral Examination,,,COLLEGE,"SY,TY,FR"
2026-04-20,2026-05-30,,,End Semester Examination,,,COLLEGE,"SY,TY,FR"
2026-04-18,2026-05-27,,,Teachers’ Summer Vacation,,,COLLEGE,"SY,TY,FR"
2026-05-31,2026-07-19,,,Students’ Summer Vacation / Internship,,,COLLEGE,"SY,TY,FR"
2026-06-16,,,,Result Declaration for Semester-II,,,COLLEGE,"SY,TY,FR"
2026-07-06,2026-07-17,,,Re-Exam for Sem I and II,,,COLLEGE,"SY,TY,FR"
2026-07-20,,,,Final Year Teaching Begins (Semester VII),,,COLLEGE,"FR"
2025-07-15,2025-07-15,10:00,13:00,Python Workshop,Hands-on Python programming workshop,Lab 1,WORKSHOP,"FY,SY"
2025-07-22,2025-07-22,14:00,16:00,Guest Speaker: AI Trends,Talk by Dr. Sharma on AI trends,Auditorium,SPEAKER,"SY,TY,FR"
2025-08-05,2025-08-05,09:00,17:00,Hackathon 2025,24-hour coding competition,Main Hall,COMPETITION,"SY,TY,FR"
2025-08-12,2025-08-12,11:00,13:00,Resume Building,Workshop on resume and interview skills,Seminar Room,WORKSHOP,"FY,SY"
2025-08-19,2025-08-19,15:00,17:00,Robotics Demo,Live robotics demonstration,Lab 2,DEMONSTRATION,"TY,FR"
2025-09-03,2025-09-03,10:00,12:00,Alumni Talk,Alumni sharing career experiences,Auditorium,SPEAKER,"FY,SY,TY,FR"
2025-09-10,2025-09-10,13:00,16:00,Poster Presentation,Student poster competition,Exhibition Hall,COMPETITION,"FY,SY"
2025-09-17,2025-09-17,09:00,11:00,Cloud Computing Workshop,Workshop on cloud technologies,Lab 3,WORKSHOP,"SY,TY"
2025-09-24,2025-09-24,14:00,16:00,Entrepreneurship Panel,Panel discussion with entrepreneurs,Auditorium,PANEL,"TY,FR"
